Source,Target,Type
B1041336,小红书视频,完成
A1041337,Vlog/微电影,发布
B1041337,Vlog/微电影,完成
A1041338,其他短视频,发布
B1041338,其他短视频,完成
A1041339,小红书营销,发布
B1041339,小红书营销,完成
A1041340,二维动画,发布
B1041340,二维动画,完成
A1041341,动画制作,发布
B1041341,动画制作,完成
A1041342,GIF动画,发布
B1041342,GIF动画,完成
A1041344,PS修图,发布
B1041344,PS修图,完成
A1041346,VR效果图,发布
B1041346,VR效果图,完成
A1041347,3D效果图,发布
B1041347,3D效果图,完成
A1041348,3D视频,发布
B1041348,3D视频,完成
A1041350,广告片/MV,发布
B1041350,广告片/MV,完成
A1041351,产品视频,发布
B1041351,产品视频,完成
A1041352,视频定制,发布
B1041352,视频定制,完成
A1041353,创意短视频,发布
B1041353,创意短视频,完成
A1041354,抖音视频,发布
B1041354,抖音视频,完成
A1041355,短视频营销,发布
B1041355,短视频营销,完成
A1041356,直播卖货,发布
B1041356,直播卖货,完成
A1041358,产品拍摄,发布
B1041358,产品拍摄,完成
A1041361,剪辑服务,发布
B1041361,剪辑服务,完成
A1041362,专题片制作,发布
B1041362,专题片制作,完成
A1041397,脚本开发,发布
B1041397,脚本开发,完成
A1041438,LOGO设计,发布
B1041438,LOGO设计,完成
A1041600,书籍装帧,发布
B1041600,书籍装帧,完成
A1041627,VI设计,发布
B1041627,VI设计,完成
A1041641,纪录片,发布
B1041641,纪录片,完成
A1041642,剧本创作,发布
B1041642,剧本创作,完成
A1041643,淘宝视频,发布
B1041643,淘宝视频,完成
A1041644,小红书视频,发布
B1041644,小红书视频,完成
A1041645,Vlog/微电影,发布
B1041645,Vlog/微电影,完成
A1041646,其他短视频,发布
B1041646,其他短视频,完成
A1041647,二维动画,发布
B1041647,二维动画,完成
A1041649,GIF动画,发布
B1041649,GIF动画,完成
A1041650,产品拍摄,发布
B1041650,产品拍摄,完成
A1041651,PS修图,发布
B1041651,PS修图,完成
A1041654,产品视频,发布
B1041654,产品视频,完成
A1041656,创意短视频,发布
B1041656,创意短视频,完成
A1041657,抖音视频,发布
B1041657,抖音视频,完成
A1041658,短视频营销,发布
B1041658,短视频营销,完成
A1041659,直播卖货,发布
B1041659,直播卖货,完成
A1041660,抖音代运营,发布
B1041660,抖音代运营,完成
A1041661,三维动画,发布
B1041661,三维动画,完成
A1041662,纪录片,发布
B1041662,纪录片,完成
A1041663,剧本创作,发布
B1041663,剧本创作,完成
A1041664,淘宝视频,发布
B1041664,淘宝视频,完成
A1041665,小红书视频,发布
B1041665,小红书视频,完成
A1041666,Vlog/微电影,发布
B1041666,Vlog/微电影,完成
A1041667,其他短视频,发布
B1041667,其他短视频,完成
A1041668,小红书营销,发布
B1041668,小红书营销,完成
A1041669,二维动画,发布
B1041669,二维动画,完成
A1041670,动画制作,发布
B1041670,动画制作,完成
A1041671,GIF动画,发布
B1041671,GIF动画,完成
A1041672,产品拍摄,发布
B1041672,产品拍摄,完成
A1041673,PS修图,发布
B1041673,PS修图,完成
A1041674,广告摄影,发布
B1041674,广告摄影,完成
A1041675,VR效果图,发布
B1041675,VR效果图,完成
A1041676,3D效果图,发布
B1041676,3D效果图,完成
A1041677,3D视频,发布
B1041677,3D视频,完成
A1041680,产品视频,发布
B1041680,产品视频,完成
A1041681,视频定制,发布
B1041681,视频定制,完成
A1041682,创意短视频,发布
B1041682,创意短视频,完成
A1041683,抖音视频,发布
B1041683,抖音视频,完成
A1041684,短视频营销,发布
B1041684,短视频营销,完成
A1041687,产品拍摄,发布
B1041687,产品拍摄,完成
A1041689,动画制作,发布
B1041689,动画制作,完成
A1041690,剪辑服务,发布
B1041690,剪辑服务,完成
A1041691,专题片制作,发布
B1041691,专题片制作,完成
A1041692,VR/AR/MR,发布
B1041692,VR/AR/MR,完成
A1041855,其他软件开发,发布
B1041855,其他软件开发,完成
A1041916,企业官网,发布
B1041916,企业官网,完成
A1041922,企业宣传片,发布
B1041922,企业宣传片,完成
A1042044,交互设计,发布
B1042044,交互设计,完成
A1042093,手游开发,发布
B1042093,手游开发,完成
A1042158,产品视频,发布
B1042158,产品视频,完成
A1042159,创意短视频,发布
B1042159,创意短视频,完成
A1042160,创意短视频,发布
B1042160,创意短视频,完成
A1042161,动画制作,发布
B1042161,动画制作,完成
A1042162,动画制作,发布
B1042162,动画制作,完成
A1042163,抖音代运营,发布
B1042163,抖音代运营,完成
A1042164,抖音代运营,发布
B1042164,抖音代运营,完成
A1042165,抖音视频,发布
B1042165,抖音视频,完成
A1042166,抖音视频,发布
B1042166,抖音视频,完成
A1042167,二维动画,发布
B1042167,二维动画,完成
A1042168,二维动画,发布
B1042168,二维动画,完成
A1042169,剪辑服务,发布
B1042169,剪辑服务,完成
A1042170,剪辑服务,发布
B1042170,剪辑服务,完成
A1042171,企业宣传片,发布
B1042171,企业宣传片,完成
A1042172,企业宣传片,发布
B1042172,企业宣传片,完成
A1042173,纪录片,发布
B1042173,纪录片,完成
A1042174,剧本创作,发布
B1042174,剧本创作,完成
A1042175,淘宝视频,发布
B1042175,淘宝视频,完成
A1042176,小红书视频,发布
B1042176,小红书视频,完成
A1042177,Vlog/微电影,发布
B1042177,Vlog/微电影,完成
A1042178,其他短视频,发布
B1042178,其他短视频,完成
A1042179,小红书营销,发布
B1042179,小红书营销,完成
A1042180,二维动画,发布
B1042180,二维动画,完成
A1042181,动画制作,发布
B1042181,动画制作,完成
A1042182,GIF动画,发布
B1042182,GIF动画,完成
A1042183,产品拍摄,发布
B1042183,产品拍摄,完成
A1042184,PS修图,发布
B1042184,PS修图,完成
