需求方,设计师,任务编号,能力标签,交易价格,发布时间
o556fd2e59334f,锐智设计工作室,任务编号：357752,宣传册设计,280.0,2015-06-05
山河缘艺术品,魔影数码科技,任务编号：357639,3D建模,1000.0,2015-06-04
Mr159****0173,非凡国际品牌设计,任务编号：357171,LOGO设计,500.0,2015-06-02
mf186****5853,迪奥克传媒,任务编号：357077,LOGO设计,300.0,2015-06-02
淘易拍电子商城,仕雅传媒,任务编号：356824,LOGO设计,100.0,2015-06-01
Mr137****5757,华客创意品牌设计,任务编号：356777,LOGO设计,500.0,2015-06-01
华耀牧业,非凡国际品牌设计,任务编号：356545,宣传册设计,300.0,2015-05-30
M1519****828,色度视觉,任务编号：356250,LOGO设计,1000.0,2015-05-29
向冬ing,实心工作室,任务编号：355648,海报设计,100.0,2015-05-26
o555b****4554d,新盟品牌设计顾问,任务编号：354171,包装设计,800.0,2015-05-20
iyejh2015,小飞侠,任务编号：353555,排版设计,200.0,2015-05-17
馨妈妈母婴护理,fjy_eeyore 伊哟设计,任务编号：353413,宣传册设计,700.0,2015-05-16
cathyma,莫斯品牌设计,任务编号：352797,VI设计,8000.0,2015-05-13
Mr181****1483,华客创意品牌设计,任务编号：352942,海报设计,100.0,2015-05-14
Dylan_罗靖,喆喆创想设计工作室,任务编号：352599,LOGO设计,1000.0,2015-05-13
mf186****9931,南京豪竹文化传播有限公司,任务编号：352630,漫画设计,800.0,2015-05-13
yzy99843,9度设计,任务编号：351597,VI设计,700.0,2015-05-08
鲤鱼92,胜其美艺旗舰店,任务编号：351342,卡通形象设计,1200.0,2015-05-07
mf186****7045,随心设计,任务编号：351299,PPT设计,1000.0,2015-05-07
M1863****536,伯乐视策,任务编号：350996,卡通形象设计,1000.0,2015-05-06
上海掘策,灵悦品牌设计,任务编号：349985,VI设计,5000.0,2015-05-01
o5538a67b814e2,威翔摄影设计,任务编号：349674,海报设计,200.0,2015-04-30
o5538a67b814e2,威翔摄影设计,任务编号：349675,宣传册设计,600.0,2015-04-30
M1881****780,八方平面设计,任务编号：349321,LOGO设计,150.0,2015-04-28
lpyguang,达达设计,任务编号：348800,海报设计,100.0,2015-04-27
RipperQ,天北项目设计工作室,任务编号：348812,产品外观设计,5000.0,2015-04-27
mf132****2685,头脑风暴,任务编号：348598,店铺装修,1000.0,2015-04-25
mf186****0130,毕节君尚文化传媒有限公司,任务编号：348437,包装设计,1000.0,2015-04-24
天韵企划机构,上邦设计开发公司,任务编号：347959,VI设计,3000.0,2015-04-23
Mr138****9696,千道智和品牌设计,任务编号：348012,LOGO设计,1000.0,2015-04-23
天韵企划机构,易腾网站建设,任务编号：347964,产品外观设计,5000.0,2015-04-23
上海商业策划,易腾网站建设,任务编号：347489,产品外观设计,3000.0,2015-04-21
天韵企划机构,易腾网站建设,任务编号：347758,VI设计,4000.0,2015-04-22
jianglh10,彦美文化,任务编号：347449,LOGO设计,200.0,2015-04-21
mf133****2345,聚意阁品牌设计事务所,任务编号：347524,产品外观设计,500.0,2015-04-21
灵智公司,上邦设计开发公司,任务编号：347475,LOGO设计,2000.0,2015-04-21
mf138****6533,弘毅设计,任务编号：347321,宣传册设计,300.0,2015-04-20
mf136****0557,美焕文化,任务编号：346725,LOGO设计,350.0,2015-04-17
上海新希望,北京游畅策划开发,任务编号：346574,LOGO设计,4500.0,2015-04-17
o552fd8542a01b,华客创意品牌设计,任务编号：346545,VI设计,3000.0,2015-04-17
o552f880145c8c,非凡国际品牌设计,任务编号：346501,LOGO设计,600.0,2015-04-16
mf186****2558,伯乐视策,任务编号：346441,LOGO设计,500.0,2015-04-16
董董董,梦点设计,任务编号：346222,LOGO设计,300.0,2015-04-15
liuqingrui,专注卡通设计可外包,任务编号：346100,LOGO设计,380.0,2015-04-15
高水平中医大师,鼎茂旗舰店,任务编号：345970,店铺装修,1000.0,2015-04-14
lt139110,小火苗创意设计,任务编号：345722,产品外观设计,600.0,2015-04-13
tcbci,深海设计+PHP程序,任务编号：344779,广告设计,300.0,2015-04-09
上海商业策划,重庆汪林创意公司,任务编号：344428,VI设计,26000.0,2015-04-08
灵智公司,重庆汪林创意公司,任务编号：344470,包装设计,8000.0,2015-04-08
mf189****5463,华客创意品牌设计,任务编号：343083,LOGO设计,150.0,2015-04-03
o53cf65ae2a3c2,适道（国际）品牌设计机构,任务编号：344090,LOGO设计,1000.0,2015-04-07
o5512****1d342,诚意文创设计,任务编号：343121,其他工业设计,100.0,2015-04-03
bbdbb9691,寒思设计,任务编号：343118,LOGO设计,400.0,2015-04-03
其实我介意,福玖创意,任务编号：342686,服装设计,1500.0,2015-04-02
oavico,亮波工作室,任务编号：342439,LOGO设计,150.0,2015-04-01
人来人往都是客,盖视铭洋品牌策划设计机构,任务编号：342178,宣传册设计,500.0,2015-03-31
jijian870624,伯乐视策,任务编号：341342,LOGO设计,400.0,2015-03-27
